"filename", "language", "JSON", "JSON with Comments", "Python", "JavaScript", "Markdown", "YAML", "HTML", "Docker", "PostCSS", "XML", "JavaScript JSX", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\scripts\modules\Tecnico\02_acciones.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 1, 21, 205
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\scripts\modules\Tecnico\Tecnico.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 6
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\scripts\modules\admin_pro\00_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\scripts\modules\admin_pro\01_reportes.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 693, 0, 0, 16, 709
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\scripts\modules\admin_pro\02_editar.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 45, 356
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\scripts\modules\admin_pro\AdminPro.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\app\app.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 84
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\app\prismaClient.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 11
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\config\database.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 10
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\config\env.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
